text,label,all_category,sum_category
ke tempat yang menyegarkan,wisata,wisata,21
berkeliling naik ATV,wisata,edukasi,24
mendaki gunung di alam terbuka,wisata,olahraga,23
melewati hutan yang sangat luas dan liar,wisata,hiburan,20
piknik di taman,wisata,bisnis,27
bermain air di pantai,wisata,budaya,26
jalan-jalan di pedesaan,wisata,musik,21
bersepeda di pegunungan,wisata,lainnya,1
mengunjungi air terjun,wisata,,
menginjak tanah yang lebar,wisata,,
merasakan udara panas,wisata,,
pergi ke tempat wisata agar terkena panas terik matahari,wisata,,
angin kencang yang membuat hati senang,wisata,,
angin sejuk membuat jiwa raga tenang,wisata,,
sengatan matahari membuat kulit berwarna lebih gelap,wisata,,
membuat kulit terpapar sinar matahari,wisata,,
kegiatan yang berkaitan dengan luar ruangan,wisata,,
tempat untuk healing,wisata,,
wisata,wisata,,
tempat wisata,wisata,,
pergi ke tempat wisata yang menyenangkan bersama keluarga,wisata,,
belajar di perpustakaan,edukasi,,
mengikuti kursus online,edukasi,,
mengerjakan tugas sekolah,edukasi,,
menghadiri seminar,edukasi,,
menjadi orang terpintar di sekolah,edukasi,,
praktikum di laboratorium,edukasi,,
belajar bahasa asing,edukasi,,
mengikuti bimbingan belajar,edukasi,,
belajar coding di kampus,edukasi,,
mengikuti kursus untuk menambah wawasan,edukasi,,
belajar membuat iq kita bertambah,edukasi,,
kegiatan yang membuat otak kita pintar,edukasi,,
memberi manfaat bagi diri saya dan orang lain,edukasi,,
menonton seminar yang bermanfaat,edukasi,,
suatu hal yang membuat diri saya teredukasi,edukasi,,
pergi ke tempat seminar,edukasi,,
membuat saya sukses untuk masa depan,edukasi,,
tempat untuk  menambah wawasan dan kepintaran,edukasi,,
mengunjungi tempat khusus belajar,edukasi,,
memperbarui pengetahuan umum,edukasi,,
dapat di lihat dari tingkat kecerdasan otak,edukasi,,
edukasi adalah kunci keberhasilan,edukasi,,
edukasi,edukasi,,
tempat edukasi,edukasi,,
bermain sepak bola di lapangan,olahraga,,
latihan angkat beban di gym,olahraga,,
berenang di kolam renang,olahraga,,
bermain basket di lapangan,olahraga,,
lari pagi di stadion,olahraga,,
bermain tenis di lapangan,olahraga,,
ikut marathon di kota,olahraga,,
bermain voli pantai,olahraga,,
latihan karate di dojo,olahraga,,
membakar lemak di tubuh,olahraga,,
berolahraga agar tubuh sehat,olahraga,,
kegiatan yang menyehatkan tubuh,olahraga,,
membuat badan saya sehat,olahraga,,
berolahraga agar tubuh lebih bugar,olahraga,,
mengurangi kadar kalori di tubuh,olahraga,,
tempat untuk olahraga ,olahraga,,
kegiatan yang menghasilkan keringat,olahraga,,
efek baik dan sehat bagi tubuh,olahraga,,
dengan berolahraga kesehatan kita semakin meningkat,olahraga,,
merasakan latihan olahraga di dalam ruangan yang besar,olahraga,,
olahraga,olahraga,,
tempat olahraga,olahraga,,
berlatih untuk semakin kuat,olahraga,,
rasa stress dapat di sembuhkan dengan merasakan hal-hal yang menyenangkan,hiburan,,
menonton pertunjukan teater yang meriah,hiburan,,
nonton film di bioskop,hiburan,,
tempat untuk menghilangkan rasa stres,hiburan,,
menonton sirkus di atas stage,hiburan,,
menghadiri acara stand-up comedy,hiburan,,
menonton opera di panggung yang megah,hiburan,,
mengikuti acara yang menghibur,hiburan,,
merasakan hiburan ,hiburan,,
bermain game di arcade,hiburan,,
tempat untuk menonton atraksi,hiburan,,
menikmati hiburan di rumah,hiburan,,
mencoba hal-hal baru bersama teman,hiburan,,
menyaksikan pertunjukan sulap di taman kota,hiburan,,
mengunjungi pameran seni dan menikmati karya-karya indah,hiburan,,
bersantai menikmati suasana,hiburan,,
menghadiri pertunjukan drama musikal di teater,hiburan,,
hiburan,hiburan,,
tempat hiburan,hiburan,,
menghadiri pesta ulang tahun,hiburan,,
nonton konser band,musik,,
datang ke festival musik,musik,,
mendengarkan lagu-lagu sedih,musik,,
musik yang memiliki melodi yang indah cenderung enak untuk di dengar,musik,,
ingin menghayati lirik lagu dengan suasana yang tenang,musik,,
menonton band musik kelas atas di panggung yang megah dan meriah,musik,,
grup band yang sedang naik daun itu lagu-lagu nya sangat bagus,musik,,
datang ke tempat yang membuat kita ikut bernyanyi,musik,,
nyanyian dari orang tersebut sangat dalam penyampaiannya,musik,,
pergi ke tempat yang dapat mendengarkan alat musik,musik,,
mencoba berbagai alat musik,musik,,
mencari lagu-lagu yang sedang naik daun,musik,,
melodi piano yang indah membuatku mengantuk,musik,,
menghadiri pertunjukan musik yang sedang populer baru-baru ini,musik,,
mempelajari teori musik untuk meningkatkan keterampilan bermain instrumen,musik,,
mendengarkan alunan lagu yang membuat hati tersentuh,musik,,
mencari album terbaru dari penyanyi terkenal,musik,,
menggunakan alat musik di studio musik,musik,,
musik,musik,,
tempat musik,musik,,
petikan senar gitar tersebut membuat hati ku tenang,musik,,
menghadiri sosialiasi tentang pengembangan ekonomi dan bisnis,bisnis,,
mengikuti kegiatan sosialisasi bisnis,bisnis,,
ingin tahu bagaimana tren pasar akhir-akhir ini,bisnis,,
membuat saya berhasil dalam dunia kerja,bisnis,,
membuat bisnis saya laris,bisnis,,
ingin bergabung ke dalam perusahaan-perusahaan besar,bisnis,,
dapat bekerja dengan produktif dan efisien,bisnis,,
membuat kita sukses dalam dunia kerja,bisnis,,
kerja dengan gaji di atas UMR kota,bisnis,,
menjalin kerja sama dengan perusahaan,bisnis,,
bisnis yang saling menguntungkan,bisnis,,
"dengan modal seperti ini, kita dapat membangun usaha sendiri",bisnis,,
cara mengatur keuangan agar dapat bertahan di dunia industri,bisnis,,
berkompetisi adalah hal normal untuk dilakukan,bisnis,,
perusahaan tersebut terlihat memiliki laba yang sangat besar,bisnis,,
membayar hutang tepat waktu,bisnis,,
menghindari kerugian berlebih dari proses pembangunan,bisnis,,
membangun rumah usaha dan merekrut karyawan,bisnis,,
memperkuat ekonomi di situasi global saat ini,bisnis,,
mempertahankan keuangan ,bisnis,,
membayar tagihan dengan bijak,bisnis,,
bagaimana cara memulai bisnis,bisnis,,
"mengetahui tantangan umum pebisnis pemula termasuk modal, persaingan, dan pengalaman",bisnis,,
"jenis-jenis bisnis termasuk bisnis ritel, manufaktur, jasa, dan online",bisnis,,
bisnis,bisnis,,
tempat bisnis,bisnis,,
"mengidentifikasi kekuatan, kelemahan, peluang, dan ancaman bisnis",bisnis,,
mempelajari sejarah peradaban dunia,budaya,,
menambah pengetahuan tentang budaya lokal,budaya,,
"mengetahui budaya, agama, ras di indonesia",budaya,,
mengenal adat istiadat orang-orang di sekitar,budaya,,
setiap daerah memiliki budaya unik yang kaya akan nilai-nilai tradisional,budaya,,
mengenal lebih tentang identitas saya dan mencerminkan siapa saya,budaya,,
memahami nilai dan norma sosial melalui tradisi budaya yang diwariskan,budaya,,
menghadiri tempat kesenian tari tradisional,budaya,,
mencoba makanan khas daerah,budaya,,
ke tempat kerajinan tangan,budaya,,
mengubah cara pandang saya terhadap dunia,budaya,,
cara menikmati kehidupan sehari-hari,budaya,,
berpartisipasi dalam pelaksanaan upacara adat,budaya,,
memahami bahasa daerah,budaya,,
menghadiri festival budaya,budaya,,
kegiatan melestarikan budaya,budaya,,
mengenal budaya lokal,budaya,,
mempelajari kesenian lokal,budaya,,
merasakan kedekatan dengan leluhur,budaya,,
menjaga warisan budaya tetap hidup,budaya,,
merasa terhubung dengan akar budaya,budaya,,
menonton kompetisi tari,budaya,,
membeli barang-barang khas daerah,budaya,,
budaya,budaya,,
tempat budaya,budaya,,
mengunjungi pasar tradisional,budaya,,
lainnya,lainnya,,
